trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.95, 'e': 1.0}",20,0,-171.62765394546605,"{0: 10, 1: 2, 2: 5, 3: 0, 4: 3}",0
2,False,"{'a': 0.95, 'e': 1.0}",25,0,-199.8023158430234,"{0: 11, 1: 4, 2: 7, 3: 0, 4: 3}",0
3,False,"{'a': 0.95, 'e': 0.25}",20,13,12.325138286130734,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,False,"{'a': 0.95, 'e': 0.1111111111111111}",25,0,-82.05061938390908,"{0: 20, 1: 1, 2: 2, 3: 0, 4: 2}",0
5,False,"{'a': 0.95, 'e': 0.0625}",25,13,-67.71599847135822,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 2}",1
6,False,"{'a': 0.95, 'e': 0.04}",20,0,3.3000804114497466,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
7,False,"{'a': 0.95, 'e': 0.027777777777777776}",25,0,-56.90335297064637,"{0: 20, 1: 0, 2: 4, 3: 0, 4: 1}",0
8,False,"{'a': 0.95, 'e': 0.02040816326530612}",20,0,-177.81273189102114,"{0: 12, 1: 2, 2: 2, 3: 0, 4: 4}",0
9,False,"{'a': 0.95, 'e': 0.015625}",25,0,4.719273243395623,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 0}",0
10,False,"{'a': 0.95, 'e': 0.012345679012345678}",20,9,19.53110126552163,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
11,False,"{'a': 0.95, 'e': 0.01}",30,14,-8.8727382666001,"{0: 14, 1: 0, 2: 1, 3: 1, 4: 0}",1
12,False,"{'a': 0.95, 'e': 0.008264462809917356}",20,0,-79.60729671938782,"{0: 17, 1: 0, 2: 0, 3: 1, 4: 2}",0
13,False,"{'a': 0.95, 'e': 0.006944444444444444}",30,0,19.590212568725143,"{0: 28, 1: 1, 2: 1, 3: 0, 4: 0}",1
14,False,"{'a': 0.95, 'e': 0.005917159763313609}",20,0,-66.2493829797066,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 2}",0
15,False,"{'a': 0.95, 'e': 0.00510204081632653}",20,0,-43.29649587825398,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
16,False,"{'a': 0.95, 'e': 0.0044444444444444444}",25,0,-91.41315814891657,"{0: 19, 1: 3, 2: 0, 3: 1, 4: 2}",0
17,False,"{'a': 0.95, 'e': 0.00390625}",20,7,-63.69790627646589,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 2}",1
18,False,"{'a': 0.95, 'e': 0.0034602076124567475}",35,24,-4.002793197323391,"{0: 10, 1: 0, 2: 0, 3: 1, 4: 0}",1
19,False,"{'a': 0.95, 'e': 0.0030864197530864196}",35,0,-23.57299582522785,"{0: 32, 1: 1, 2: 0, 3: 1, 4: 1}",0
20,False,"{'a': 0.95, 'e': 0.002770083102493075}",20,10,-3.840887354476336,"{0: 9, 1: 0, 2: 0, 3: 1, 4: 0}",1
21,False,"{'a': 0.95, 'e': 0.0025}",25,2,-5.595733178240299,"{0: 21, 1: 0, 2: 1, 3: 1, 4: 0}",1
22,False,"{'a': 0.95, 'e': 0.0022675736961451248}",25,11,-10.308038135279682,"{0: 11, 1: 0, 2: 3, 3: 0, 4: 0}",1
23,False,"{'a': 0.95, 'e': 0.002066115702479339}",20,9,10.754142242138194,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
24,False,"{'a': 0.95, 'e': 0.001890359168241966}",30,4,-11.99762868337604,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 1}",1
25,False,"{'a': 0.95, 'e': 0.001736111111111111}",25,0,-16.11197457467257,"{0: 22, 1: 0, 2: 2, 3: 1, 4: 0}",0
26,False,"{'a': 0.95, 'e': 0.0016}",35,25,17.94471111371454,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
27,False,"{'a': 0.95, 'e': 0.0014792899408284023}",30,21,-20.9910506801889,"{0: 6, 1: 2, 2: 0, 3: 1, 4: 0}",1
28,False,"{'a': 0.95, 'e': 0.0013717421124828531}",25,18,13.87839178602547,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
29,False,"{'a': 0.95, 'e': 0.0012755102040816326}",20,0,-33.51131492333479,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
30,False,"{'a': 0.95, 'e': 0.0011890606420927466}",25,6,1.8199392962385947,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 0}",1
31,False,"{'a': 0.95, 'e': 0.0011111111111111111}",20,0,27.139079094501795,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
32,False,"{'a': 0.95, 'e': 0.001040582726326743}",30,13,29.32176321253488,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
33,False,"{'a': 0.95, 'e': 0.0009765625}",25,0,21.554540106372585,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
34,False,"{'a': 0.95, 'e': 0.0009182736455463728}",20,11,-51.88182601660881,"{0: 7, 1: 0, 2: 0, 3: 1, 4: 1}",1
35,False,"{'a': 0.95, 'e': 0.0008650519031141869}",25,18,13.06906850937408,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
36,False,"{'a': 0.95, 'e': 0.0008163265306122449}",25,15,10.512499737827305,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
37,False,"{'a': 0.95, 'e': 0.0007716049382716049}",25,8,27.015350029978027,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
38,False,"{'a': 0.95, 'e': 0.0007304601899196494}",20,0,20.92054844426417,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
39,False,"{'a': 0.95, 'e': 0.0006925207756232687}",20,7,15.809277049809111,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
40,False,"{'a': 0.95, 'e': 0.0006574621959237344}",25,8,-24.47019383908927,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 1}",1
41,False,"{'a': 0.95, 'e': 0.000625}",25,0,7.429291066235272,"{0: 23, 1: 1, 2: 0, 3: 1, 4: 0}",0
42,False,"{'a': 0.95, 'e': 0.000594883997620464}",20,0,25.039327154851254,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
43,False,"{'a': 0.95, 'e': 0.0005668934240362812}",25,0,30.84069137572996,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
44,False,"{'a': 0.95, 'e': 0.0005408328826392645}",20,16,9.933377862715142,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
45,False,"{'a': 0.95, 'e': 0.0005165289256198347}",20,0,25.07681931809254,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
46,False,"{'a': 0.95, 'e': 0.0004938271604938272}",35,6,22.268322320695237,"{0: 27, 1: 2, 2: 0, 3: 0, 4: 0}",1
47,False,"{'a': 0.95, 'e': 0.0004725897920604915}",20,9,-28.529178259071404,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
48,False,"{'a': 0.95, 'e': 0.0004526935264825713}",25,2,24.552526885517626,"{0: 22, 1: 1, 2: 0, 3: 0, 4: 0}",1
49,False,"{'a': 0.95, 'e': 0.00043402777777777775}",25,7,-15.46149167822843,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 1}",1
50,False,"{'a': 0.95, 'e': 0.00041649312786339027}",30,0,-9.44240210071836,"{0: 28, 1: 0, 2: 1, 3: 0, 4: 1}",0
51,False,"{'a': 0.95, 'e': 0.0004}",25,0,-16.710151822558473,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
52,False,"{'a': 0.95, 'e': 0.00038446751249519417}",20,0,-31.81782879675268,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
53,False,"{'a': 0.95, 'e': 0.0003698224852071006}",25,0,-7.770221151256438,"{0: 23, 1: 0, 2: 1, 3: 1, 4: 0}",0
54,False,"{'a': 0.95, 'e': 0.000355998576005696}",25,15,-3.159345556561621,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
55,False,"{'a': 0.95, 'e': 0.0003429355281207133}",25,19,12.295152159160924,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
56,False,"{'a': 0.95, 'e': 0.00033057851239669424}",30,19,18.06099203013575,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
57,False,"{'a': 0.95, 'e': 0.00031887755102040814}",20,13,-30.217282903869535,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 1}",1
58,False,"{'a': 0.95, 'e': 0.0003077870113881194}",30,0,1.2709527315061988,"{0: 29, 1: 0, 2: 0, 3: 0, 4: 1}",0
59,False,"{'a': 0.95, 'e': 0.00029726516052318666}",20,5,13.741350371816022,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 0}",1
60,False,"{'a': 0.95, 'e': 0.0002872737719046251}",20,7,18.050117556643283,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
61,False,"{'a': 0.95, 'e': 0.0002777777777777778}",20,11,13.699960871106724,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
62,False,"{'a': 0.95, 'e': 0.0002687449610319806}",20,0,-48.646608512802246,"{0: 16, 1: 1, 2: 1, 3: 1, 4: 1}",0
