trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",35,0,-183.2316200514401,"{0: 18, 1: 4, 2: 10, 3: 2, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-68.51623018462591,"{0: 12, 1: 2, 2: 5, 3: 1, 4: 0}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",25,0,-64.59234389956771,"{0: 16, 1: 4, 2: 4, 3: 1, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",25,0,-76.2606069099229,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",30,0,-165.69919578927113,"{0: 18, 1: 5, 2: 2, 3: 3, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",25,0,-209.867958660718,"{0: 11, 1: 5, 2: 4, 3: 2, 4: 3}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,3,-139.18946248787364,"{0: 10, 1: 2, 2: 2, 3: 0, 4: 3}",1
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,13,-10.858673199330225,"{0: 4, 1: 3, 2: 0, 3: 0, 4: 0}",1
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,0,-185.51550606146935,"{0: 14, 1: 6, 2: 1, 3: 0, 4: 4}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,0,-23.918083916323813,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",30,0,-122.91115518648283,"{0: 20, 1: 2, 2: 6, 3: 0, 4: 2}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,6,-0.7062669581943588,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,10,17.400665141240903,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,0,-116.73817716178743,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 2}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,0,-74.60463903112664,"{0: 15, 1: 1, 2: 1, 3: 2, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,0,-11.662557358979411,"{0: 18, 1: 0, 2: 0, 3: 2, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,0,-34.17312148887605,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,0,4.865973556797766,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,2,-3.850122212625152,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",25,14,15.21841987113345,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0.0, 'e': 0.0}",25,0,-71.55848568060286,"{0: 22, 1: 0, 2: 0, 3: 1, 4: 2}",0
2,True,"{'a': 0.0, 'e': 0.0}",20,0,-61.74781279779668,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 2}",0
3,True,"{'a': 0.0, 'e': 0.0}",20,0,-66.06551650233227,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
4,True,"{'a': 0.0, 'e': 0.0}",20,14,-0.17812246274336196,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
5,True,"{'a': 0.0, 'e': 0.0}",20,0,-0.17884177484721886,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
6,True,"{'a': 0.0, 'e': 0.0}",20,0,12.798670659682124,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
7,True,"{'a': 0.0, 'e': 0.0}",30,0,3.7455599936791577,"{0: 27, 1: 1, 2: 1, 3: 1, 4: 0}",0
8,True,"{'a': 0.0, 'e': 0.0}",20,0,-69.95847125139892,"{0: 17, 1: 0, 2: 0, 3: 1, 4: 2}",0
9,True,"{'a': 0.0, 'e': 0.0}",25,0,-23.745052682753727,"{0: 21, 1: 0, 2: 3, 3: 1, 4: 0}",0
10,True,"{'a': 0.0, 'e': 0.0}",30,0,-75.14419171096439,"{0: 24, 1: 3, 2: 1, 3: 0, 4: 2}",0
