trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",30,0,-184.27994691297312,"{0: 14, 1: 5, 2: 8, 3: 1, 4: 2}",0
2,False,"{'a': 0.5, 'e': 1.0}",25,0,-105.06236514784818,"{0: 19, 1: 0, 2: 3, 3: 1, 4: 2}",0
3,False,"{'a': 0.5, 'e': 1.0}",30,0,-181.36465378020986,"{0: 21, 1: 0, 2: 5, 3: 0, 4: 4}",0
4,False,"{'a': 0.5, 'e': 1.0}",25,17,-21.31900209939556,"{0: 6, 1: 0, 2: 1, 3: 1, 4: 0}",1
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-94.96301071968644,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 1.0}",25,0,-152.06296001238294,"{0: 14, 1: 3, 2: 5, 3: 1, 4: 2}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-144.6550609097902,"{0: 9, 1: 5, 2: 3, 3: 1, 4: 2}",0
8,False,"{'a': 0.5, 'e': 1.0}",35,0,-136.30590699471975,"{0: 23, 1: 4, 2: 4, 3: 3, 4: 1}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-135.2161131269506,"{0: 11, 1: 1, 2: 6, 3: 0, 4: 2}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-128.61493423468158,"{0: 9, 1: 6, 2: 1, 3: 3, 4: 1}",0
11,False,"{'a': 0.5, 'e': 1.0}",25,0,-172.98141095555923,"{0: 16, 1: 0, 2: 5, 3: 1, 4: 3}",0
12,False,"{'a': 0.5, 'e': 1.0}",30,0,-114.82240561624286,"{0: 18, 1: 3, 2: 8, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 1.0}",30,0,-128.35036636580875,"{0: 15, 1: 6, 2: 8, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 1.0}",30,0,-170.14402087780192,"{0: 17, 1: 3, 2: 5, 3: 4, 4: 1}",0
15,False,"{'a': 0.5, 'e': 1.0}",25,0,-195.1650203729729,"{0: 10, 1: 4, 2: 7, 3: 2, 4: 2}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-59.07858887225552,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 0}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-165.2995147173618,"{0: 11, 1: 1, 2: 5, 3: 0, 4: 3}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,11,-81.0795517710536,"{0: 5, 1: 2, 2: 0, 3: 0, 4: 2}",1
19,False,"{'a': 0.5, 'e': 1.0}",25,11,-16.32927151482337,"{0: 11, 1: 1, 2: 1, 3: 1, 4: 0}",1
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-45.52044551739968,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-147.18101314083495,"{0: 11, 1: 0, 2: 6, 3: 1, 4: 2}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-115.6878844237593,"{0: 9, 1: 4, 2: 4, 3: 3, 4: 0}",0
3,True,"{'a': 0.5, 'e': 1.0}",30,0,-183.55473957364657,"{0: 18, 1: 4, 2: 4, 3: 1, 4: 3}",0
4,True,"{'a': 0.5, 'e': 1.0}",30,0,-180.71093897707158,"{0: 15, 1: 4, 2: 8, 3: 1, 4: 2}",0
5,True,"{'a': 0.5, 'e': 1.0}",25,0,-132.93185291973174,"{0: 11, 1: 4, 2: 8, 3: 2, 4: 0}",0
6,True,"{'a': 0.5, 'e': 1.0}",25,0,-153.79944163399048,"{0: 13, 1: 2, 2: 6, 3: 3, 4: 1}",0
7,True,"{'a': 0.5, 'e': 1.0}",25,0,-139.7003850850967,"{0: 14, 1: 1, 2: 7, 3: 2, 4: 1}",0
8,True,"{'a': 0.5, 'e': 1.0}",30,0,-120.56851667880707,"{0: 17, 1: 6, 2: 5, 3: 1, 4: 1}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,10,-68.52306779515767,"{0: 5, 1: 3, 2: 0, 3: 1, 4: 1}",1
10,True,"{'a': 0.5, 'e': 1.0}",20,0,-118.99364368644048,"{0: 13, 1: 0, 2: 5, 3: 0, 4: 2}",0
